team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,22,17,-7,-15,233,197,75,59,234,250,94,69,35,43,0,0,21,17
Chelsea,43,28,32,12,374,319,135,93,225,195,131,118,22,34,0,3,48,34
Everton,38,23,19,3,313,247,119,76,165,200,144,107,27,27,1,0,42,30
Stoke,27,18,10,-17,239,186,75,64,236,249,93,71,36,36,1,4,36,14
Man United,29,35,8,13,301,224,102,79,187,212,119,97,24,42,1,2,30,34
Tottenham,30,25,7,-3,297,287,98,91,190,213,120,110,31,35,2,2,36,33
Sunderland,21,20,-6,-13,290,200,74,63,236,208,107,81,39,29,2,5,18,20
Hull,20,18,-1,-14,246,179,73,56,204,217,96,64,25,28,1,3,25,12
Liverpool,53,48,35,16,371,279,145,114,201,209,118,106,16,38,1,0,49,35
Arsenal,36,32,25,2,285,239,114,96,187,161,127,84,21,32,1,3,44,35
Man City,63,39,50,15,377,296,136,102,189,205,155,128,33,39,0,1,52,34
Fulham,24,16,-14,-31,266,165,94,55,186,197,125,69,32,25,0,1,18,14
West Ham,25,15,-1,-10,241,177,72,47,191,211,99,85,22,39,2,3,24,16
West Brom,24,19,-3,-13,257,228,78,67,195,231,103,84,33,34,0,0,21,15
Newcastle,23,20,-5,-11,337,242,100,84,207,205,123,67,22,30,1,5,27,22
Swansea,33,21,7,-7,249,245,95,68,174,199,120,103,28,27,2,1,23,19
Norwich,17,11,-1,-33,265,199,77,69,213,211,121,76,26,36,1,1,24,9
Southampton,32,22,9,-1,299,232,102,75,201,242,116,95,23,37,0,0,30,26
Crystal Palace,18,15,-5,-10,215,199,76,67,200,204,96,76,23,34,0,2,27,18
Cardiff,20,12,-15,-27,228,191,74,52,167,175,110,86,25,24,0,1,20,10
