team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,23,24,-5,-17,217,176,124,101,208,220,111,67,32,42,3,0,20,21
Chelsea,41,34,25,11,342,227,203,133,177,194,134,106,19,33,2,1,41,34
Everton,33,22,16,-1,304,257,173,148,209,204,146,111,29,31,1,2,42,21
Stoke,21,13,-1,-10,189,149,92,73,213,230,97,66,34,46,2,2,28,14
Man United,45,41,26,17,280,232,163,136,184,177,114,104,23,34,1,0,48,41
Tottenham,29,37,11,9,346,271,218,163,166,176,141,120,24,29,1,1,38,34
Sunderland,20,21,1,-14,225,153,127,94,205,222,103,76,25,37,1,2,23,16
Wigan,26,21,-13,-13,240,212,137,120,212,204,115,84,28,38,0,2,18,18
Liverpool,33,38,17,11,393,276,219,166,179,193,161,124,19,35,1,1,33,28
Arsenal,47,25,24,11,305,241,180,146,189,171,148,112,20,24,1,4,38,35
Man City,41,25,26,6,307,294,176,176,206,237,143,126,28,35,0,3,45,33
Fulham,28,22,-2,-8,257,168,142,102,187,197,95,81,20,28,3,0,24,19
West Ham,34,11,12,-20,247,192,148,102,217,228,123,90,26,48,1,0,33,13
West Brom,32,21,7,-11,267,193,142,111,197,211,116,86,27,35,1,3,31,18
Newcastle,24,21,-7,-16,273,198,137,115,223,214,138,65,37,35,1,3,28,13
QPR,13,17,-15,-15,265,200,133,112,177,207,89,81,22,37,2,1,14,11
Swansea,28,19,2,-6,277,183,160,102,195,192,119,75,25,33,2,0,26,20
Norwich,25,16,5,-22,215,157,124,79,186,205,91,82,33,27,0,1,31,13
Reading,23,20,-10,-20,161,190,85,94,169,190,104,85,21,24,1,0,20,8
Southampton,26,23,2,-13,257,216,141,113,196,186,113,96,23,20,2,0,25,16
