team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Chelsea,30,32,14,10,356,250,132,88,183,180,148,82,19,22,3,1,37,33
Everton,28,16,6,-20,189,171,60,62,234,225,81,69,28,23,1,2,34,15
Stoke,20,15,-10,-23,203,179,65,66,219,217,80,56,30,32,1,0,20,13
Man United,38,30,29,11,275,238,93,88,204,200,117,103,29,35,0,1,47,34
Tottenham,40,34,24,14,353,269,120,97,177,207,143,103,20,29,0,2,43,34
Burnley,16,20,-1,-2,207,172,66,61,167,183,94,73,27,38,0,0,26,28
Liverpool,45,39,35,11,359,281,135,98,166,178,134,96,18,26,0,1,43,32
Arsenal,54,20,34,-11,341,250,146,87,186,197,130,93,25,32,1,1,47,16
Man City,61,45,47,32,347,317,151,110,169,175,138,146,26,32,1,1,50,50
West Ham,24,24,-2,-18,211,162,64,69,193,186,93,68,34,38,0,2,27,15
West Brom,21,10,-8,-17,210,165,65,49,230,210,101,75,35,37,0,1,18,13
Newcastle,21,18,4,-12,224,225,71,79,207,202,83,84,23,29,2,0,28,16
Swansea,17,11,-7,-21,214,122,69,35,196,181,95,55,24,27,0,1,21,12
Southampton,20,17,-6,-13,252,199,77,68,190,226,125,102,29,34,0,2,19,17
Crystal Palace,29,16,2,-12,267,208,91,60,215,210,104,105,38,33,0,0,26,18
Leicester,25,31,3,-7,227,195,75,73,180,185,112,91,22,30,2,3,27,20
Bournemouth,26,19,-4,-12,267,199,82,75,165,172,115,102,31,24,1,0,26,18
Watford,27,17,-4,-16,236,204,70,62,224,217,96,88,41,22,2,2,27,14
Brighton,24,10,-1,-19,217,166,71,47,198,215,90,73,37,17,1,1,29,11
Huddersfield,16,12,-9,-21,207,153,55,56,180,216,102,63,26,35,2,1,23,14
