team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,26,22,7,-18,231,205,125,116,211,226,125,110,35,36,1,1,31,17
Blackburn,22,24,6,-19,234,151,104,87,232,223,87,88,24,41,1,3,28,15
Bolton,34,18,10,-14,279,219,164,111,235,245,95,107,29,38,4,1,35,11
Chelsea,39,30,26,10,319,316,174,170,197,208,136,119,27,32,1,0,45,26
Everton,31,20,8,-2,290,219,159,127,230,229,139,106,29,29,3,2,34,20
Stoke,31,15,13,-15,251,159,131,73,202,215,116,75,30,40,0,1,34,12
Wolves,30,16,0,-20,208,163,117,90,213,225,133,109,27,36,0,2,28,12
Man United,49,29,37,4,312,231,184,126,177,219,126,119,16,42,1,2,55,25
Tottenham,30,25,11,-2,323,237,191,130,174,187,156,100,28,23,1,1,36,26
Sunderland,25,20,-2,-9,239,211,128,102,184,219,95,85,24,35,2,3,26,21
Wigan,22,18,-12,-9,257,193,141,112,225,236,95,74,27,41,1,3,23,19
Birmingham,19,18,-3,-18,182,145,77,78,192,207,89,63,24,33,2,1,26,13
Liverpool,37,22,23,-8,256,219,145,123,216,220,126,88,23,40,1,1,40,18
Arsenal,33,39,18,11,318,277,186,156,224,208,138,114,31,37,3,3,37,31
Man City,34,26,22,5,256,221,151,125,218,236,136,92,30,44,3,2,43,28
Fulham,30,19,7,-1,239,217,141,109,218,227,107,85,28,23,1,0,31,18
West Ham,24,19,-7,-20,258,211,139,107,195,211,97,88,22,36,0,1,20,13
West Brom,30,26,0,-15,287,236,164,123,197,194,103,86,29,25,3,4,30,17
Newcastle,41,15,14,-15,253,181,155,97,219,221,104,99,32,43,1,1,26,20
Blackpool,30,25,-7,-16,253,193,134,101,216,187,94,92,22,25,0,2,20,19
