team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Chelsea,39,24,27,-3,325,281,118,80,154,185,120,95,20,29,0,0,42,30
Everton,30,24,9,-1,279,216,85,84,218,214,119,96,24,31,0,4,34,20
Wolves,28,19,7,-6,267,207,85,66,198,211,109,86,33,39,0,1,34,23
Man United,33,32,8,3,284,242,126,99,213,220,116,84,32,41,1,3,36,30
Tottenham,34,33,18,10,308,228,105,84,174,201,102,92,20,36,0,3,38,33
Burnley,24,21,-8,-15,210,149,66,49,184,175,80,60,33,42,0,1,23,17
Liverpool,55,34,45,22,335,239,126,100,149,166,133,116,13,24,1,1,53,44
Arsenal,42,31,26,-4,256,210,96,74,218,194,128,84,40,32,0,2,45,25
Man City,57,38,45,27,386,297,148,112,162,166,143,144,17,27,0,1,54,44
Fulham,22,12,-14,-33,274,179,86,63,199,224,102,59,34,34,1,1,21,5
West Ham,32,20,5,-8,245,196,88,69,165,166,108,79,28,31,0,1,31,21
Newcastle,24,18,-1,-5,266,178,80,62,203,219,112,69,25,32,1,1,25,20
Southampton,27,18,-3,-17,258,222,89,73,219,201,101,92,39,32,2,1,23,16
Crystal Palace,19,32,-4,2,294,197,76,70,180,206,130,75,25,33,1,1,20,29
Cardiff,21,13,-17,-18,230,187,68,58,195,189,95,73,33,32,0,1,20,14
Leicester,24,27,4,-1,298,217,99,85,184,167,108,102,33,24,2,3,27,25
Bournemouth,30,26,5,-19,229,218,82,81,187,152,96,95,36,24,1,0,29,16
Watford,26,26,-2,-5,224,210,83,68,221,212,91,86,38,39,3,1,27,23
Brighton,19,16,-9,-16,200,165,53,55,221,242,90,66,30,30,2,2,23,13
Huddersfield,10,12,-21,-33,203,197,57,61,214,206,85,77,27,28,3,1,9,7
