team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,29,23,13,0,226,203,121,118,223,237,138,103,23,38,0,2,32,32
Blackburn,28,13,10,-24,247,187,140,98,261,265,96,86,28,31,1,1,36,14
Bolton,26,16,-5,-20,257,203,146,100,242,277,108,84,34,41,2,3,24,15
Chelsea,68,35,54,17,394,303,230,158,212,229,142,143,17,39,2,3,52,34
Everton,35,25,14,-3,292,218,166,141,203,259,123,105,20,37,1,1,39,22
Portsmouth,24,10,-8,-24,275,191,158,96,224,259,110,78,38,34,3,2,18,10
Stoke,24,10,3,-17,184,153,95,75,242,206,111,72,30,36,3,2,27,20
Wolves,13,19,-9,-15,218,159,125,81,218,265,99,107,24,40,1,3,21,17
Man United,52,34,40,18,343,273,195,149,201,220,167,127,23,28,0,4,49,36
Tottenham,40,27,28,-2,351,246,202,146,198,220,141,100,26,31,0,1,44,26
Sunderland,32,16,13,-21,206,178,119,97,257,261,86,95,42,40,2,7,34,10
Wigan,19,18,-5,-37,281,217,147,119,240,242,108,76,27,37,0,3,25,11
Birmingham,19,19,6,-15,197,176,109,111,198,210,103,86,36,38,1,0,33,17
Burnley,25,17,-5,-35,216,190,117,111,207,227,101,79,20,37,0,2,26,4
Hull,22,12,-7,-34,199,137,113,68,272,248,94,57,29,38,3,3,24,6
Liverpool,43,18,28,-2,305,214,169,119,205,240,157,111,22,34,2,3,42,21
Arsenal,48,35,33,9,306,254,187,142,193,226,132,126,24,32,1,0,47,28
Man City,41,32,21,7,243,211,130,122,202,200,146,93,21,30,0,2,40,27
Fulham,27,12,12,-19,225,155,124,86,191,229,101,81,15,31,0,1,36,10
West Ham,30,17,1,-20,252,205,142,116,234,251,99,82,27,39,1,2,26,9
