team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,18,13,-7,-19,222,218,65,62,191,209,89,82,28,42,4,3,21,17
Chelsea,36,37,27,14,313,231,122,88,200,182,134,92,36,41,1,3,49,38
Everton,27,21,6,-8,269,179,85,81,185,203,105,89,27,39,0,2,28,19
Stoke,32,16,10,-7,308,193,78,58,240,246,112,80,33,49,0,1,33,21
Man United,41,21,26,-1,282,212,104,75,223,230,109,104,31,33,1,4,44,26
Tottenham,31,27,7,-2,292,226,90,82,219,222,126,98,37,42,1,3,33,31
Sunderland,16,15,-11,-11,213,205,57,72,218,217,112,73,45,49,1,1,20,18
Burnley,14,14,-7,-18,232,0,70,55,212,194,89,81,33,31,0,2,19,14
Hull,19,14,-5,-13,243,219,78,53,229,222,91,78,28,43,3,3,20,15
Liverpool,30,22,10,-6,331,178,106,88,190,195,111,87,29,37,2,1,35,27
Arsenal,41,30,27,8,359,209,141,87,179,198,154,100,27,41,1,1,41,34
Man City,44,39,30,15,361,223,129,99,234,211,170,103,35,42,1,1,45,34
West Ham,25,19,7,-10,276,213,83,69,204,216,129,112,33,31,1,1,31,16
West Brom,24,14,-2,-11,241,249,76,54,197,226,99,72,34,30,1,2,25,19
Newcastle,26,14,-1,-22,268,226,81,62,208,225,130,92,33,33,1,6,26,13
QPR,23,19,-1,-30,308,0,90,61,222,225,95,84,36,39,1,2,23,7
Swansea,27,19,5,-8,233,217,83,64,195,203,83,68,25,23,1,4,32,24
Southampton,37,17,24,-3,288,233,98,72,232,236,118,91,23,34,2,1,37,23
Crystal Palace,21,26,-6,2,243,207,76,63,270,257,116,93,26,37,2,2,21,27
Leicester,28,18,6,-15,275,0,83,54,225,232,120,91,20,29,2,2,26,15
