team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Chelsea,55,30,38,14,316,264,121,83,185,209,129,89,32,40,0,0,51,42
Everton,42,20,26,-8,277,221,112,80,215,244,120,76,36,35,1,1,43,18
Stoke,24,17,0,-15,229,197,79,58,222,212,103,85,35,35,2,0,27,17
Man United,26,28,14,11,337,252,118,92,249,248,139,78,36,40,1,1,34,35
Tottenham,47,39,38,22,373,296,147,110,209,223,148,125,27,35,0,0,53,33
Sunderland,16,13,-18,-22,214,173,66,55,221,216,86,74,35,41,2,2,14,10
Burnley,26,13,6,-22,210,180,64,56,208,218,79,70,35,30,0,2,33,7
Hull,28,9,-7,-36,208,188,69,58,219,184,73,106,32,35,2,3,28,6
Liverpool,45,33,27,9,331,307,127,109,194,203,116,133,22,32,0,0,41,35
Arsenal,39,38,23,10,329,236,114,86,200,197,132,95,34,33,3,0,45,30
Man City,37,43,20,21,336,297,115,102,188,207,151,129,32,39,4,0,40,38
West Ham,19,28,-12,-5,270,226,66,72,192,216,90,82,47,30,1,4,25,20
West Brom,27,16,5,-13,220,180,72,51,219,230,80,78,33,47,0,0,29,16
Swansea,27,18,-7,-18,223,167,83,63,190,211,119,77,30,26,0,0,27,14
Southampton,17,24,-4,-3,299,249,92,87,206,218,108,92,23,35,2,0,24,22
Crystal Palace,24,26,-1,-12,224,214,74,64,230,239,102,100,32,45,0,0,20,21
Leicester,31,17,6,-21,240,192,83,62,201,250,110,87,30,41,0,1,34,10
Bournemouth,35,20,6,-18,253,193,91,69,173,193,98,93,24,27,1,2,31,15
Watford,25,15,-4,-24,231,188,77,67,273,244,82,82,50,33,2,3,28,12
Middlesbrough,17,10,-6,-20,205,144,59,41,210,268,93,48,38,38,0,1,18,10
