team,Home goals,Away goals,Home GD,Away GD,Home S,Away S,Home ST,Away ST,Home F,Away F,Home C,Away C,Home Y,Away Y,Home R,Away R,Home Pts,Away Pts
Aston Villa,20,17,-5,-11,225,179,108,95,187,206,129,89,25,45,2,0,19,19
Blackburn,26,22,-7,-23,257,158,145,93,224,201,105,61,39,29,1,4,19,12
Bolton,23,23,-16,-15,234,213,152,123,223,206,111,100,23,28,2,3,16,20
Chelsea,41,24,17,2,335,281,177,157,211,192,132,122,31,44,1,3,39,25
Everton,28,22,13,-3,269,205,145,108,225,224,100,79,24,37,1,0,33,23
Stoke,25,11,5,-22,192,148,94,57,209,214,105,60,25,36,1,1,29,16
Wolves,19,21,-24,-18,236,175,132,97,163,182,122,84,30,34,3,1,12,13
Man United,52,37,33,23,370,222,228,141,191,176,169,110,25,26,1,0,47,42
Tottenham,39,27,22,3,352,283,210,163,160,180,147,136,15,30,0,3,42,27
Sunderland,26,19,9,-10,225,192,126,107,183,206,100,79,27,33,1,2,28,17
Wigan,22,20,-5,-15,250,206,147,111,235,212,135,74,35,33,1,2,22,21
Liverpool,24,23,8,-1,337,275,169,161,182,184,173,135,23,33,0,5,27,25
Arsenal,39,35,22,3,320,265,185,167,191,183,158,105,36,31,1,3,40,30
Man City,55,38,43,21,353,313,215,184,177,207,153,116,18,38,2,3,55,34
Fulham,36,12,10,-13,302,187,192,109,162,188,109,79,22,32,0,0,35,17
West Brom,21,24,-1,-6,254,216,144,120,193,192,127,85,18,30,0,1,21,26
Newcastle,29,27,12,-7,263,188,146,109,185,202,106,66,31,36,0,2,38,27
QPR,24,19,-1,-22,270,224,133,131,203,186,101,94,29,28,6,3,26,11
Swansea,27,17,9,-16,223,197,126,115,157,152,111,93,21,19,0,2,31,16
Norwich,28,24,-2,-12,256,218,140,114,169,215,78,89,26,33,2,1,27,20
